                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1995,                 2.5407,                  1.326,                0.59814,                0.54125,                0.57943,                0.37819,                 1.2109,                 1.6391,                  1.318,             0.00022171,             0.00022171,             0.00022171
                      2,                 1.1943,                 1.7833,                 1.3089,                0.60499,                0.53073,                0.55131,                0.33877,                 1.2569,                 1.6225,                 1.3678,             0.00043964,             0.00043964,             0.00043964
                      3,                 1.1958,                 1.6057,                 1.3038,                0.64604,                0.55119,                0.60394,                0.38047,                  1.292,                 1.5643,                 1.4014,             0.00065318,             0.00065318,             0.00065318
                      4,                 1.1971,                 1.4848,                 1.3052,                0.80733,                0.59695,                0.71559,                0.47761,                 1.2099,                 1.2343,                 1.3267,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.1682,                 1.3542,                 1.2816,                0.78481,                0.64614,                 0.7333,                0.48804,                 1.1713,                 1.1728,                  1.281,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.1408,                 1.2698,                 1.2716,                0.82528,                0.62649,                0.73426,                0.50059,                 1.1845,                 1.1483,                 1.3149,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1339,                 1.2236,                 1.2609,                0.84406,                 0.6289,                0.76079,                0.51421,                 1.1416,                 1.0812,                 1.2727,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.1124,                 1.1611,                 1.2456,                0.80691,                0.68856,                0.77859,                0.53817,                 1.1279,                0.99225,                  1.253,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.1008,                 1.1201,                 1.2387,                0.83087,                0.68991,                0.79523,                0.53651,                 1.1415,                0.98817,                 1.2583,             0.00061417,             0.00061417,             0.00061417
                     10,                   1.09,                 1.0934,                 1.2337,                0.79995,                0.69736,                 0.7869,                0.53827,                 1.1403,                0.96966,                  1.262,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0819,                 1.0615,                 1.2294,                0.80972,                0.68516,                0.78463,                 0.5397,                 1.1199,                0.97574,                 1.2575,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.0819,                 1.0429,                 1.2278,                 0.8412,                0.68819,                0.79824,                0.55736,                 1.1034,                0.92176,                 1.2411,             0.00059436,             0.00059436,             0.00059436
                     13,                 1.0601,                 1.0211,                 1.2114,                0.85207,                0.71445,                0.81416,                 0.5658,                   1.09,                0.88149,                 1.2207,             0.00058776,             0.00058776,             0.00058776
                     14,                  1.061,                 1.0005,                 1.2085,                0.85243,                0.70268,                0.80739,                0.56883,                 1.0998,                0.89236,                 1.2249,             0.00058116,             0.00058116,             0.00058116
                     15,                 1.0437,                 0.9654,                 1.2013,                0.82061,                0.73428,                0.82372,                0.57115,                 1.0933,                0.86729,                 1.2237,             0.00057455,             0.00057455,             0.00057455
                     16,                 1.0458,                 0.9488,                 1.2022,                0.82478,                0.72303,                0.80977,                0.56015,                 1.1027,                0.88222,                 1.2295,             0.00056795,             0.00056795,             0.00056795
                     17,                 1.0396,                0.95078,                 1.2016,                0.85073,                0.71426,                 0.8145,                0.57277,                 1.0791,                0.86241,                 1.2093,             0.00056135,             0.00056135,             0.00056135
                     18,                 1.0249,                0.92576,                 1.1861,                0.84131,                0.74485,                0.83069,                0.58347,                 1.0699,                0.82851,                 1.2116,             0.00055474,             0.00055474,             0.00055474
                     19,                  1.017,                0.89986,                 1.1838,                0.86058,                0.71276,                0.81953,                0.58407,                 1.0893,                0.82967,                 1.2148,             0.00054814,             0.00054814,             0.00054814
                     20,                 1.0171,                0.90368,                 1.1817,                0.85291,                0.74915,                0.83854,                0.59053,                 1.0676,                0.81932,                 1.1998,             0.00054154,             0.00054154,             0.00054154
                     21,                 1.0002,                0.88246,                 1.1752,                0.84439,                0.73736,                0.83423,                0.59181,                 1.0865,                0.81429,                 1.2067,             0.00053493,             0.00053493,             0.00053493
                     22,                 1.0036,                0.88132,                 1.1747,                0.87386,                0.74368,                0.84061,                0.58776,                 1.0816,                0.80885,                 1.2068,             0.00052833,             0.00052833,             0.00052833
                     23,                0.99977,                0.87236,                 1.1705,                0.85903,                0.74128,                0.83585,                0.59931,                 1.0487,                0.78224,                 1.1883,             0.00052173,             0.00052173,             0.00052173
                     24,                0.99747,                0.86078,                 1.1719,                0.87265,                 0.7423,                  0.843,                0.59452,                 1.0585,                0.78158,                  1.197,             0.00051512,             0.00051512,             0.00051512
                     25,                0.99115,                0.84332,                 1.1663,                0.84567,                0.76845,                  0.847,                0.60284,                 1.0514,                 0.7552,                 1.1818,             0.00050852,             0.00050852,             0.00050852
                     26,                0.98587,                 0.8393,                  1.161,                0.86987,                0.74732,                0.84706,                0.61003,                 1.0415,                0.77691,                 1.1826,             0.00050192,             0.00050192,             0.00050192
                     27,                0.98816,                0.83295,                 1.1653,                0.85625,                0.75373,                  0.842,                0.60328,                 1.0608,                0.77561,                 1.1917,             0.00049531,             0.00049531,             0.00049531
                     28,                0.97184,                0.81109,                  1.155,                0.86917,                0.77106,                0.85815,                0.61488,                 1.0374,                0.75655,                 1.1856,             0.00048871,             0.00048871,             0.00048871
                     29,                0.97429,                0.81834,                  1.158,                 0.8807,                0.75887,                 0.8537,                0.61379,                 1.0369,                0.73931,                 1.1809,             0.00048211,             0.00048211,             0.00048211
                     30,                  0.959,                0.79409,                 1.1463,                0.84963,                0.77387,                 0.8513,                0.61608,                  1.024,                0.74464,                 1.1643,              0.0004755,              0.0004755,              0.0004755
                     31,                0.95658,                 0.7919,                 1.1436,                0.84996,                0.77934,                 0.8571,                0.62073,                 1.0318,                0.73218,                 1.1762,              0.0004689,              0.0004689,              0.0004689
                     32,                0.95826,                0.78827,                 1.1473,                0.87101,                0.77007,                0.85398,                0.61473,                 1.0326,                0.73132,                 1.1793,              0.0004623,              0.0004623,              0.0004623
                     33,                0.95942,                 0.7861,                 1.1495,                0.87431,                0.78595,                0.86665,                 0.6216,                 1.0329,                0.72428,                 1.1745,             0.00045569,             0.00045569,             0.00045569
                     34,                0.95284,                0.77747,                 1.1399,                0.87836,                0.76597,                0.86286,                 0.6253,                 1.0186,                0.70714,                 1.1662,             0.00044909,             0.00044909,             0.00044909
                     35,                0.94411,                0.76631,                 1.1364,                0.85568,                0.77894,                0.85894,                 0.6198,                 1.0147,                0.71709,                 1.1656,             0.00044249,             0.00044249,             0.00044249
                     36,                0.95002,                0.76627,                  1.138,                0.85836,                0.78463,                0.86373,                0.62465,                  1.029,                0.69226,                 1.1723,             0.00043588,             0.00043588,             0.00043588
                     37,                0.94428,                0.75742,                 1.1316,                0.87843,                0.78007,                0.86722,                0.63128,                 1.0152,                0.69827,                 1.1632,             0.00042928,             0.00042928,             0.00042928
                     38,                0.94332,                 0.7473,                  1.129,                0.88012,                0.77806,                0.86259,                0.62192,                 1.0096,                0.69656,                 1.1599,             0.00042268,             0.00042268,             0.00042268
                     39,                0.93641,                0.74782,                 1.1304,                0.86465,                0.78959,                0.86434,                0.63118,                 1.0164,                0.70557,                 1.1643,             0.00041607,             0.00041607,             0.00041607
                     40,                0.92905,                0.73304,                 1.1299,                0.89723,                0.78707,                0.87528,                0.63931,                      1,                0.68072,                 1.1495,             0.00040947,             0.00040947,             0.00040947
                     41,                0.93027,                0.74032,                 1.1282,                0.87557,                0.79456,                0.86669,                 0.6328,                 1.0179,                0.69087,                   1.16,             0.00040287,             0.00040287,             0.00040287
                     42,                0.93134,                0.73168,                 1.1298,                 0.8862,                0.78211,                0.86788,                0.63108,                 1.0205,                0.68927,                 1.1641,             0.00039626,             0.00039626,             0.00039626
                     43,                0.92185,                0.72213,                 1.1204,                0.88879,                0.78714,                0.87258,                0.63416,                 1.0075,                0.68447,                 1.1562,             0.00038966,             0.00038966,             0.00038966
                     44,                0.92351,                0.71861,                 1.1266,                0.89214,                 0.7775,                0.86565,                  0.635,                0.99652,                0.67104,                 1.1488,             0.00038306,             0.00038306,             0.00038306
                     45,                0.91893,                0.71569,                 1.1185,                0.88962,                0.79772,                0.87891,                0.64201,                 1.0114,                0.65815,                 1.1536,             0.00037645,             0.00037645,             0.00037645
                     46,                0.91262,                0.70343,                 1.1147,                0.88367,                0.78595,                0.87138,                0.63488,                 1.0138,                 0.6694,                 1.1563,             0.00036985,             0.00036985,             0.00036985
                     47,                0.90577,                0.69282,                 1.1134,                0.89118,                0.78168,                0.87103,                 0.6365,                 1.0053,                0.67414,                 1.1582,             0.00036325,             0.00036325,             0.00036325
                     48,                0.90469,                0.69464,                 1.1113,                0.90203,                0.78606,                0.87679,                0.64003,                0.99638,                0.65194,                  1.151,             0.00035664,             0.00035664,             0.00035664
                     49,                0.89915,                0.68817,                 1.1109,                0.86921,                0.80602,                0.87697,                0.64106,                 1.0026,                 0.6635,                 1.1541,             0.00035004,             0.00035004,             0.00035004
                     50,                0.90259,                0.68527,                 1.1072,                0.90262,                0.78564,                0.87525,                0.64049,                 1.0068,                0.66079,                 1.1508,             0.00034344,             0.00034344,             0.00034344
                     51,                 0.9091,                0.68646,                 1.1085,                0.87617,                0.80694,                0.88366,                0.64579,                 1.0017,                0.65313,                 1.1461,             0.00033683,             0.00033683,             0.00033683
                     52,                0.89921,                0.67822,                 1.1065,                0.88991,                0.81313,                0.88558,                0.64817,                0.99077,                0.64443,                 1.1329,             0.00033023,             0.00033023,             0.00033023
                     53,                0.89433,                0.67159,                  1.104,                0.87374,                0.81128,                0.87882,                0.64539,                 1.0062,                0.64811,                 1.1476,             0.00032363,             0.00032363,             0.00032363
                     54,                0.89016,                0.66373,                 1.0989,                0.91665,                0.77996,                0.88406,                0.64605,                  1.004,                   0.64,                 1.1469,             0.00031703,             0.00031703,             0.00031703
                     55,                0.89165,                0.66932,                 1.1037,                0.89189,                0.80075,                0.88157,                 0.6448,                 1.0127,                0.64401,                 1.1518,             0.00031042,             0.00031042,             0.00031042
                     56,                 0.8841,                0.65631,                  1.094,                0.90576,                 0.7922,                0.87861,                0.64379,                 1.0094,                0.64489,                 1.1444,             0.00030382,             0.00030382,             0.00030382
                     57,                0.87428,                0.65357,                 1.0944,                0.88146,                0.80451,                0.87873,                0.64529,                 1.0038,                 0.6407,                 1.1399,             0.00029722,             0.00029722,             0.00029722
                     58,                0.87801,                0.64832,                 1.0953,                0.90865,                0.79472,                0.88728,                0.64872,                0.99805,                 0.6361,                 1.1419,             0.00029061,             0.00029061,             0.00029061
                     59,                0.87356,                0.64115,                 1.0943,                0.89183,                0.81138,                0.88564,                 0.6471,                 1.0089,                0.63601,                 1.1461,             0.00028401,             0.00028401,             0.00028401
                     60,                0.87755,                0.63797,                 1.0956,                0.90702,                0.80323,                0.88713,                0.65248,                0.99935,                0.63105,                 1.1416,             0.00027741,             0.00027741,             0.00027741
                     61,                0.86784,                0.64411,                 1.0933,                0.88132,                0.81494,                0.88851,                0.65165,                0.99782,                0.63623,                 1.1378,              0.0002708,              0.0002708,              0.0002708
                     62,                0.86088,                0.63295,                   1.09,                0.89097,                0.80284,                 0.8888,                0.65105,                 0.9988,                 0.6339,                 1.1446,              0.0002642,              0.0002642,              0.0002642
                     63,                0.85943,                0.62748,                 1.0859,                0.89277,                0.79329,                0.88579,                0.65244,                0.99894,                0.63853,                  1.146,              0.0002576,              0.0002576,              0.0002576
                     64,                0.85798,                0.62676,                 1.0857,                 0.9021,                0.80695,                0.88761,                0.64976,                0.99759,                0.62706,                 1.1415,             0.00025099,             0.00025099,             0.00025099
                     65,                0.86383,                0.62101,                 1.0833,                0.89528,                 0.8061,                0.88801,                0.65072,                0.99924,                0.62061,                 1.1422,             0.00024439,             0.00024439,             0.00024439
                     66,                0.85634,                 0.6228,                 1.0799,                0.89257,                0.80547,                0.88867,                0.65286,                0.99526,                 0.6213,                 1.1377,             0.00023779,             0.00023779,             0.00023779
                     67,                0.85307,                0.61181,                 1.0814,                0.87718,                0.81754,                0.88658,                0.64974,                 1.0017,                0.62082,                 1.1435,             0.00023118,             0.00023118,             0.00023118
                     68,                0.84708,                0.60576,                 1.0752,                0.90032,                0.80061,                0.88653,                0.65076,                0.99233,                0.62125,                 1.1375,             0.00022458,             0.00022458,             0.00022458
                     69,                0.85364,                0.61128,                 1.0789,                0.90168,                0.80373,                0.89117,                0.65388,                0.99501,                0.61252,                 1.1386,             0.00021798,             0.00021798,             0.00021798
                     70,                0.83982,                0.59887,                 1.0705,                0.88079,                0.81982,                0.89545,                0.65709,                0.98667,                0.60827,                 1.1345,             0.00021137,             0.00021137,             0.00021137
                     71,                0.84816,                0.60141,                 1.0762,                0.90698,                0.81244,                0.89074,                0.65396,                0.99172,                0.60735,                 1.1349,             0.00020477,             0.00020477,             0.00020477
                     72,                0.84135,                0.59951,                 1.0752,                0.89558,                0.80963,                0.88976,                0.65387,                0.99113,                0.62162,                 1.1355,             0.00019817,             0.00019817,             0.00019817
                     73,                0.83815,                0.60214,                 1.0734,                0.89104,                0.81091,                0.88982,                0.65486,                0.99186,                 0.6065,                 1.1373,             0.00019156,             0.00019156,             0.00019156
                     74,                0.83727,                0.59262,                 1.0736,                0.89865,                0.81987,                  0.892,                0.65743,                0.98827,                0.60074,                 1.1361,             0.00018496,             0.00018496,             0.00018496
                     75,                0.83664,                0.59465,                 1.0736,                 0.8916,                0.81656,                0.89612,                0.65833,                0.97931,                0.60345,                  1.129,             0.00017836,             0.00017836,             0.00017836
                     76,                0.82554,                0.58238,                 1.0659,                0.88457,                0.83034,                0.89621,                0.65716,                0.97978,                0.60422,                 1.1279,             0.00017175,             0.00017175,             0.00017175
                     77,                0.82767,                0.57959,                 1.0662,                0.89035,                 0.8277,                0.89431,                0.65931,                 0.9894,                0.60134,                 1.1339,             0.00016515,             0.00016515,             0.00016515
                     78,                0.82213,                0.57892,                 1.0644,                  0.892,                0.82745,                0.89737,                0.66027,                0.98642,                0.59266,                 1.1321,             0.00015855,             0.00015855,             0.00015855
                     79,                0.82365,                0.57655,                 1.0624,                0.91745,                0.80789,                0.89673,                  0.661,                0.99269,                0.60125,                 1.1376,             0.00015194,             0.00015194,             0.00015194
                     80,                0.81835,                 0.5707,                 1.0604,                0.91722,                0.81608,                0.89834,                0.66137,                0.98458,                0.59185,                 1.1347,             0.00014534,             0.00014534,             0.00014534
                     81,                0.82173,                0.57192,                 1.0633,                0.90581,                0.80922,                 0.8949,                0.65837,                0.98736,                0.59729,                  1.139,             0.00013874,             0.00013874,             0.00013874
                     82,                0.81678,                0.57304,                 1.0607,                0.90495,                0.81803,                0.89701,                0.66163,                0.98442,                 0.5901,                 1.1356,             0.00013213,             0.00013213,             0.00013213
                     83,                0.82026,                0.56604,                  1.061,                0.89667,                 0.8165,                0.89385,                0.66316,                0.98742,                0.59276,                 1.1382,             0.00012553,             0.00012553,             0.00012553
                     84,                0.81237,                0.56381,                 1.0576,                0.88991,                0.82602,                0.89394,                 0.6607,                0.99337,                0.59906,                 1.1414,             0.00011893,             0.00011893,             0.00011893
                     85,                0.80757,                0.55609,                  1.053,                0.91073,                0.80317,                0.89506,                0.66186,                0.99157,                0.59891,                 1.1388,             0.00011232,             0.00011232,             0.00011232
                     86,                 0.8031,                0.55544,                 1.0514,                0.91211,                0.80558,                0.89577,                0.66064,                0.99002,                0.60386,                 1.1386,             0.00010572,             0.00010572,             0.00010572
                     87,                0.80577,                0.55614,                 1.0527,                0.89526,                0.81986,                0.89381,                  0.663,                0.99337,                0.59712,                 1.1382,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     88,                0.80684,                 0.5579,                 1.0545,                 0.9157,                0.80552,                0.89741,                0.66272,                0.99172,                0.59264,                 1.1386,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     89,                 0.8061,                0.55337,                 1.0532,                0.90237,                0.81667,                0.89784,                0.66312,                0.98586,                0.59028,                 1.1335,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                0.79972,                0.54592,                 1.0534,                0.90796,                0.81344,                0.89648,                0.66347,                0.98937,                0.59173,                  1.139,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     91,                0.77978,                0.47702,                 1.0221,                0.91408,                0.80677,                0.89505,                 0.6584,                0.99654,                0.59588,                 1.1456,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                0.76621,                0.45656,                 1.0148,                0.89714,                0.81896,                0.89544,                0.65983,                0.99093,                0.58841,                 1.1427,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                0.75938,                0.45306,                 1.0144,                0.89611,                0.82252,                0.89333,                0.66153,                0.98988,                0.58249,                 1.1413,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                 0.7529,                0.44583,                 1.0087,                0.89631,                 0.8244,                 0.8931,                0.66092,                0.99105,                0.57896,                 1.1414,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                0.75018,                0.44027,                 1.0058,                0.90429,                0.81659,                0.89328,                0.66222,                0.99285,                0.58071,                 1.1423,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                0.74367,                0.43912,                 1.0054,                0.90162,                0.82737,                0.89446,                 0.6643,                0.98951,                0.58047,                  1.142,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                0.73984,                0.43807,                 1.0011,                0.90077,                0.82651,                0.89373,                0.66327,                0.98907,                0.57829,                 1.1409,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                0.74021,                0.43421,                 1.0034,                0.89734,                0.82456,                0.89372,                0.66366,                0.99003,                0.58064,                 1.1429,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                0.73971,                0.43491,                 1.0025,                0.89716,                0.82343,                  0.894,                0.66275,                0.99167,                0.58098,                 1.1454,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    100,                0.73452,                0.43044,                 0.9991,                0.89661,                0.82573,                0.89431,                0.66283,                0.99139,                0.58037,                 1.1452,             1.3273e-05,             1.3273e-05,             1.3273e-05
